"Comune";"Vino";"Atto";"Gazzetta Ufficiale";"Latitudine";"Longitudine";
"Conegliano";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.8881481";"12.3050185";
"San Vendemiano";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.8867406";"12.3516602";
"Colle Umberto";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.9399657";"12.3399807";
"Vittorio Veneto";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.9798115";"12.3033131";
"Tarzo";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.9728333";"12.2340740";
"Cison di Valmarino";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.9673703";"12.1442407";
"San Pietro di Feletto";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.9163513";"12.2507734";
"Refrontolo";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.9250185";"12.2100185";
"Susegana";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.8519560";"12.2507649";
"Pieve di Soligo";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.9000220";"12.1714710";
"Farra di Soligo";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.8963310";"12.0941930";
"Follina";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.9525000";"12.1206296";
"Miane";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.9454624";"12.0965270";
"Vidor";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.8615074";"12.0387297";
"Valdobbiadene";"Conegliano Valdobbiadene Prosecco";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.9013332";"11.9954402";
"Valdobbiadene";"Conegliano Valdobbiadene Prosecco Superiore di Cartizze";"D.M. 20/09/2010";"n. 232 del 04/10/2010";"45.9013332";"11.9954402";
"Agna";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.1697474";"11.9604008";
"Arre";"Friularo di Bagnoli";"D. M. 08/11/2011";"n. 276 del 26/11/2011";"45.2190740";"11.9253333";
